date,value
2014-05-01,1663.4654
2014-06-01,1676.7091
2014-07-01,1694.7364
2014-08-01,1711.9169
2014-09-01,1725.7095
2014-10-01,1730.654
2014-11-01,1751.4649
2014-12-01,1773.3289
2015-01-01,1791.4649
2015-02-01,1807.969
2015-03-01,1834.6574
2015-04-01,1847.4647
2015-05-01,1863.2155
2015-06-01,1880.0106
2015-07-01,1889.3971
2015-08-01,1903.497
2015-09-01,1915.3335
2015-10-01,1929.9909
2015-11-01,1946.1398
2015-12-01,1953.028
2016-01-01,1963.8614
2016-02-01,1987.0965
2016-03-01,2019.0644
2016-04-01,2032.8705
2016-05-01,2047.6807
2016-06-01,2050.6023
2016-07-01,2057.7396
2016-08-01,2051.359
2016-09-01,2070.3348
2016-10-01,2086.0443
2016-11-01,2089.2406
2016-12-01,2083.858
2017-01-01,2082.4205
2017-02-01,2082.4462
2017-03-01,2066.1819
2017-04-01,2066.7875
2017-05-01,2071.2002
2017-06-01,2072.7647
2017-07-01,2076.2042
2017-08-01,2084.0913
2017-09-01,2103.0097
2017-10-01,2112.3532
2017-11-01,2104.8251
2017-12-01,2103.3867
2018-01-01,2107.4187
2018-02-01,2108.897
2018-03-01,2121.1219
2018-04-01,2163.2847
2018-05-01,2169.9207
2018-06-01,2187.9107
2018-07-01,2201.552
2018-08-01,2206.6478
2018-09-01,2223.1376
2018-10-01,2248.1891
2018-11-01,2272.1475
2018-12-01,2301.4447
2019-01-01,2322.445
2019-02-01,2328.1493
2019-03-01,2334.9873
2019-04-01,2326.003
2019-05-01,2330.1648
2019-06-01,2335.9836
2019-07-01,2343.7554
2019-08-01,2362.5876
2019-09-01,2369.8779
2019-10-01,2369.6935
2019-11-01,2367.3355
2019-12-01,2355.1744
2020-01-01,2351.4931
2020-02-01,2347.0377
2020-03-01,2561.454
2020-04-01,2919.3887
2020-05-01,3033.946
2020-06-01,2925.7641
2020-07-01,2857.5477
2020-08-01,2815.8428
2020-09-01,2760.552
2020-10-01,2697.4905
2020-11-01,2637.0438
2020-12-01,2590.1147
2021-01-01,2563.4486
2021-02-01,2587.366
2021-03-01,2587.0043
2021-04-01,2556.2809
2021-05-01,2545.8069
2021-06-01,2482.4097
2021-07-01,2454.7138
2021-08-01,2433.366
2021-09-01,2422.1929
2021-10-01,2425.7676
2021-11-01,2438.3683
2021-12-01,2476.3688
2022-01-01,2488.2667
2022-02-01,2498.5016
2022-03-01,2536.0105
2022-04-01,2567.865
2022-05-01,2610.9073
2022-06-01,2673.243
2022-07-01,2706.7518
2022-08-01,2730.0362
2022-09-01,2751.5978
2022-10-01,2775.8372
2022-11-01,2793.4186
2022-12-01,2805.2981
2023-01-01,2812.0999
2023-02-01,2805.8568
2023-03-01,2794.5917
2023-04-01,2773.5061
2023-05-01,2766.4735
2023-06-01,2761.7097
2023-07-01,2760.2439
2023-08-01,2760.5006
2023-09-01,2761.0579
2023-10-01,2772.5138
2023-11-01,2764.3394
2023-12-01,2763.2464
2024-01-01,2755.8706
2024-02-01,2764.9857
